Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
23-03-2024,Airport,Departure,41572,6190,15731,63493
24-03-2024,Airport,Arrival,34618,9402,16527,60547
24-03-2024,Airport,Departure,36003,9664,20353,66020
25-03-2024,Airport,Arrival,28088,10130,16139,54357
25-03-2024,Airport,Departure,35667,8482,18237,62386
26-03-2024,Airport,Arrival,27294,8816,16077,52187
26-03-2024,Airport,Departure,46016,6051,14628,66695
27-03-2024,Airport,Arrival,27102,9013,19842,55957
27-03-2024,Airport,Departure,55493,4736,14656,74885
28-03-2024,Airport,Arrival,29406,8711,20092,58209
28-03-2024,Airport,Departure,66294,3675,11822,81791
29-03-2024,Airport,Arrival,30510,10174,19962,60646
29-03-2024,Airport,Departure,66102,4561,13040,83703
30-03-2024,Airport,Arrival,33871,9782,16986,60639
30-03-2024,Airport,Departure,44713,6277,18866,69856
31-03-2024,Airport,Arrival,39636,7594,12871,60101
31-03-2024,Airport,Departure,37043,8700,24198,69941
1/4/2024,Airport,Arrival,58645,4580,10964,74189
1/4/2024,Airport,Departure,37721,6908,19178,63807
2/4/2024,Airport,Arrival,47976,5554,12353,65883
2/4/2024,Airport,Departure,32357,6541,14974,53872
3/4/2024,Airport,Arrival,43105,8631,16703,68439
3/4/2024,Airport,Departure,32019,8110,12737,52866
4/4/2024,Airport,Arrival,46441,7401,19136,72978
4/4/2024,Airport,Departure,29650,6230,11588,47468
5/4/2024,Airport,Arrival,48391,6316,18672,73379
5/4/2024,Airport,Departure,23459,6826,12462,42747
6/4/2024,Airport,Arrival,54283,5669,16331,76283
6/4/2024,Airport,Departure,25130,10400,15494,51024
7/4/2024,Airport,Arrival,62471,5423,13472,81366
7/4/2024,Airport,Departure,27134,8729,21963,57826
8/4/2024,Airport,Arrival,44718,8591,17244,70553
8/4/2024,Airport,Departure,26524,6073,18675,51272
9/4/2024,Airport,Arrival,32110,7917,18985,59012
9/4/2024,Airport,Departure,22984,6957,15809,45750
10/4/2024,Airport,Arrival,25687,8459,23434,57580
10/4/2024,Airport,Departure,25089,7929,19210,52228
11/4/2024,Airport,Arrival,21885,8292,21324,51501
11/4/2024,Airport,Departure,27124,7258,15079,49461
12/4/2024,Airport,Arrival,24613,8552,24389,57554
